St_Code;Lat_dec;Long_dec
1;20046;80.6166666666667;58.05
2;20069;79.5;76.9833333333333
3;20087;79.55;90.6166666666667
4;20107;78.0666666666667;14.25
5;20289;77.1666666666667;96.4333333333333
6;20292;77.7166666666667;104.3
7;20476;75.4166666666667;88.9
8;20667;73.3333333333333;70.05
9;20674;73.5;80.4
10;20744;72.3666666666667;52.7
11;20891;71.9833333333333;102.466666666667
12;20946;70.45;59.0833333333333
13;20982;70.9666666666667;94.5
14;21432;76;137.866666666667
15;21611;73.55;118.666666666667
16;21647;73.1833333333333;143.233333333333
17;21802;71.9666666666667;114.083333333333
18;21824;71.5833333333333;128.916666666667
19;21908;70.1333333333333;113.966666666667
20;21921;70.6833333333333;127.4
21;21931;70.7666666666667;136.216666666667
22;21946;70.6166666666667;147.883333333333
23;21982;70.9833333333333;181.516666666667
24;22003;69.9333333333333;31.9833333333333
25;22019;69.2;33.4833333333333
26;22028;69.2;35.1166666666667
27;22095;69.5333333333333;49.0833333333333
28;22101;68.9666666666667;28.7833333333333
29;22113;68.9666666666667;33.05
30;22140;68.15;39.7666666666667
31;22165;68.65;43.3
32;22204;67.5666666666667;30.45
33;22217;67.15;32.35
34;22235;67.35;37.05
35;22249;67.1333333333333;39.6666666666667
36;22271;67.8833333333333;44.1333333333333
37;22292;67.6833333333333;48.6833333333333
38;22324;66.6833333333333;34.35
39;22355;66.4833333333333;40.6833333333333
40;22408;65.2166666666667;31.15
41;22422;65.9;34.7666666666667
42;22438;65.2;36.8166666666667
43;22471;65.8666666666667;44.2166666666667
44;22520;64.9833333333333;34.8
45;22550;64.5;40.7333333333333
46;22583;64.75;47.65
47;22602;63.8333333333333;30.8166666666667
48;22619;63.2666666666667;33.4166666666667
49;22641;63.9;38.1166666666667
50;22676;63.5833333333333;45.6333333333333
51;22768;62.1;42.9
52;22802;61.7166666666667;30.7166666666667
53;22820;61.8166666666667;34.2666666666667
54;22837;61.0166666666667;36.45
55;22845;61.5166666666667;38.9333333333333
56;22854;61.6666666666667;40.1833333333333
57;22887;61.2666666666667;46.7166666666667
58;22892;60.7166666666667;28.7333333333333
59;22907;60.0833333333333;26.9833333333333
60;22981;60.7666666666667;46.3
61;23022;69.75;61.7
62;23032;69.7166666666667;66.8
63;23058;69.0833333333333;76.85
64;23074;69.4;86.1666666666667
65;23114;68.55;55.5
66;23146;68.4666666666667;73.5833333333333
67;23205;67.6333333333333;53.0333333333333
68;23219;67.0833333333333;59.3833333333333
69;23220;67.05;64.0666666666667
